file_name,file_size,s_created_time,s_modified_time,s_mft_modified_time,s_last_accessed_time,f_created_time,f_modified_time,f_mft_modified_time,f_last_accessed_time,status,file_full_path
$Tops,0.0B,2020-02-04 18:32:53.703174,2020-02-04 18:32:53.703174,2020-02-04 18:32:53.703174,2020-02-04 18:32:53.703174,2020-02-04 18:32:53.703174,2020-02-04 18:32:53.703174,2020-02-04 18:32:53.703174,2020-02-04 18:32:53.703174,In use,./$Extend/$RmMetadata/$TxfLog/$Tops
$TxfLog.blf,64.0KB,2020-02-04 18:32:53.767140,2020-02-04 18:32:53.767140,2020-02-04 18:32:53.767140,2020-02-04 18:32:53.767140,2020-02-04 18:32:53.767140,2020-02-04 19:03:41.773564,2020-02-04 19:03:41.773564,2020-02-04 19:03:41.773564,In use,./$Extend/$RmMetadata/$TxfLog/$TxfLog.blf
$TxfLogContainer00000000000000000001,3.0MB,2020-02-04 18:32:53.822548,2020-02-04 18:32:53.822548,2020-02-04 18:32:53.822548,2020-02-04 18:32:53.822548,2020-02-04 18:32:53.822548,2020-02-04 19:03:41.768596,2020-02-04 19:03:41.768596,2020-02-04 19:03:41.768596,In use,./$Extend/$RmMetadata/$TxfLog/$TxfLogContainer00000000000000000001
$TxfLogContainer00000000000000000002,3.0MB,2020-02-04 18:32:55.506756,2020-02-04 18:32:55.506756,2020-02-04 18:32:55.506756,2020-02-04 18:32:55.506756,2020-02-04 18:32:55.506756,2020-02-04 18:32:55.810532,2020-02-04 18:32:55.810532,2020-02-04 18:32:55.810532,In use,./$Extend/$RmMetadata/$TxfLog/$TxfLogContainer00000000000000000002
System Volume Information,0.0B,2020-02-04 18:32:56.059898,2020-02-04 18:32:56.059898,2020-02-04 18:32:56.059898,2020-02-04 18:32:56.059898,2020-02-04 18:32:56.059898,2020-02-04 18:32:56.324746,2020-02-04 18:32:56.324746,2020-02-04 18:32:56.324746,In use directory,./System Volume Information
WPSettings.dat,0.0B,2020-02-04 18:32:56.067896,2020-02-04 18:32:56.067896,2020-02-04 18:32:56.067896,2020-02-04 18:32:56.067896,2020-02-04 18:32:56.067896,2020-02-04 18:32:56.161840,2020-02-04 18:32:56.161840,2020-02-04 18:32:56.161840,In use,./System Volume Information/WPSettings.dat
IndexerVolumeGuid,0.0B,2020-02-04 18:32:56.324746,2020-02-04 18:32:56.324746,2020-02-04 18:32:56.324746,2020-02-04 18:32:56.324746,2020-02-04 18:32:56.324746,2020-02-04 18:32:56.324746,2020-02-04 18:32:56.324746,2020-02-04 18:32:56.324746,In use,./System Volume Information/IndexerVolumeGuid
christmas_pockets-c8b740857a5c987f39be2fe072ccb264.zip,64.0KB,2020-02-04 18:33:07.514328,2020-02-04 18:33:07.514328,2020-02-04 18:33:07.514328,2020-02-04 18:33:07.514328,2020-02-04 18:33:07.514328,2019-12-25 08:32:02.758946,2019-12-25 08:32:02.758946,2020-02-04 18:33:07.545302,In use,./christmas_pockets-c8b740857a5c987f39be2fe072ccb264.zip
HxDSetup.zip,3.1MB,2020-02-04 18:33:07.628254,2020-02-04 18:33:07.628254,2020-02-04 18:33:07.628254,2020-02-04 18:33:07.628254,2020-02-04 18:33:07.628254,2019-12-14 14:30:20.540708,2019-12-14 14:30:20.540708,2020-02-04 18:33:07.976188,In use,./HxDSetup.zip
tweakpng-1.4.6.zip,512.0KB,2020-02-04 18:33:08.028158,2020-02-04 18:33:08.028158,2020-02-04 18:33:08.028158,2020-02-04 18:33:08.028158,2020-02-04 18:33:08.028158,2019-12-14 14:29:30.558614,2019-12-14 14:29:30.558614,2020-02-04 18:33:08.111112,In use,./tweakpng-1.4.6.zip
AD_°ü¸®ÀÚ_°èÁ¤_Å»Ãë¸¦_ÅëÇÑ_±â¾÷_³»ºÎ¸Á_Àå¾Ç_»ç·Ê¿Í_´ëÀÀ¹æ¾È.pdf,2.5MB,2020-02-04 18:33:08.158084,2020-02-04 18:33:08.158084,2020-02-04 18:33:08.158084,2020-02-04 18:33:08.158084,2020-02-04 18:33:08.158084,2019-03-01 05:38:18.140518,2019-03-01 05:38:18.140518,2020-02-04 18:33:08.492892,In use,./AD_°ü¸®ÀÚ_°èÁ¤_Å»Ãë¸¦_ÅëÇÑ_±â¾÷_³»ºÎ¸Á_Àå¾Ç_»ç·Ê¿Í_´ëÀÀ¹æ¾È.pdf
