file_name,file_size,statuss_created_time,s_modified_time,s_mft_modified_time,s_last_accessed_time,f_created_time,f_modified_time,f_mft_modified_time,f_last_accessed_time,file_full_path
dean_mac-browserhistory.ini,376.0B,In use,2020-02-04 18:34:47.838600,2019-09-16 16:51:11.000000,2020-02-04 18:34:49.315404,2020-02-04 18:34:47.873582,2020-02-04 18:34:47.838600,2020-02-04 18:34:47.838600,2020-02-04 18:34:47.838600,2020-02-04 18:34:47.838600,./tools/plaso-master/config/jenkins/greendale/dean_mac-browserhistory.ini
dean_mac.ini,323.0B,In use,2020-02-04 18:34:49.327396,2019-09-16 16:51:11.000000,2020-02-04 18:34:50.791316,2020-02-04 18:34:49.361378,2020-02-04 18:34:49.327396,2020-02-04 18:34:49.327396,2020-02-04 18:34:49.327396,2020-02-04 18:34:49.327396,./tools/plaso-master/config/jenkins/greendale/dean_mac.ini
psort-dean-hashes.ini,124.0B,In use,2020-02-04 18:34:52.232492,2019-09-16 16:51:11.000000,2020-02-04 18:34:55.183308,2020-02-04 18:34:53.747372,2020-02-04 18:34:52.232492,2020-02-04 18:34:52.232492,2020-02-04 18:34:52.232492,2020-02-04 18:34:52.232492,./tools/plaso-master/config/jenkins/greendale/psort-dean-hashes.ini
psort-studentpc1-services.ini,145.0B,In use,2020-02-04 18:34:55.204296,2019-09-16 16:51:11.000000,2020-02-04 18:34:56.669230,2020-02-04 18:34:55.236260,2020-02-04 18:34:55.204296,2020-02-04 18:34:55.204296,2020-02-04 18:34:55.204296,2020-02-04 18:34:55.204296,./tools/plaso-master/config/jenkins/greendale/psort-studentpc1-services.ini
psort-studentpc1-sessionize-unique-domains.ini,172.0B,In use,2020-02-04 18:34:56.682204,2019-09-16 16:51:11.000000,2020-02-04 18:34:58.162086,2020-02-04 18:34:56.721180,2020-02-04 18:34:56.682204,2020-02-04 18:34:56.682204,2020-02-04 18:34:56.682204,2020-02-04 18:34:56.682204,./tools/plaso-master/config/jenkins/greendale/psort-studentpc1-sessionize-unique-domains.ini
psort-studentpc1-tagging.ini,164.0B,In use,2020-02-04 18:34:58.176092,2019-09-16 16:51:11.000000,2020-02-04 18:34:59.644952,2020-02-04 18:34:58.209058,2020-02-04 18:34:58.176092,2020-02-04 18:34:58.176092,2020-02-04 18:34:58.176092,2020-02-04 18:34:58.176092,./tools/plaso-master/config/jenkins/greendale/psort-studentpc1-tagging.ini
registrar.ini,343.0B,In use,2020-02-04 18:34:59.660940,2019-09-16 16:51:11.000000,2020-02-04 18:35:01.127404,2020-02-04 18:34:59.690924,2020-02-04 18:34:59.660940,2020-02-04 18:34:59.660940,2020-02-04 18:34:59.660940,2020-02-04 18:34:59.660940,./tools/plaso-master/config/jenkins/greendale/registrar.ini
student-pc1-browserhistory.ini,404.0B,In use,2020-02-04 18:35:01.141412,2019-09-16 16:51:11.000000,2020-02-04 18:35:02.603196,2020-02-04 18:35:01.177358,2020-02-04 18:35:01.141412,2020-02-04 18:35:01.141412,2020-02-04 18:35:01.141412,2020-02-04 18:35:01.141412,./tools/plaso-master/config/jenkins/greendale/student-pc1-browserhistory.ini
student-pc1.ini,355.0B,In use,2020-02-04 18:35:02.622168,2019-09-16 16:51:11.000000,2020-02-04 18:35:04.100960,2020-02-04 18:35:02.660146,2020-02-04 18:35:02.622168,2020-02-04 18:35:02.622168,2020-02-04 18:35:02.622168,2020-02-04 18:35:02.622168,./tools/plaso-master/config/jenkins/greendale/student-pc1.ini
studentpc10.ini,340.0B,In use,2020-02-04 18:35:04.115954,2019-09-16 16:51:11.000000,2020-02-04 18:35:05.591472,2020-02-04 18:35:04.150932,2020-02-04 18:35:04.115954,2020-02-04 18:35:04.115954,2020-02-04 18:35:04.115954,2020-02-04 18:35:04.115954,./tools/plaso-master/config/jenkins/greendale/studentpc10.ini
studentpc8.ini,354.0B,In use,2020-02-04 18:35:05.608446,2019-09-16 16:51:11.000000,2020-02-04 18:35:07.081390,2020-02-04 18:35:05.650424,2020-02-04 18:35:05.608446,2020-02-04 18:35:05.608446,2020-02-04 18:35:05.608446,2020-02-04 18:35:05.608446,./tools/plaso-master/config/jenkins/greendale/studentpc8.ini
linux,0,In use directory,2020-02-04 18:35:08.511132,2020-02-04 18:35:10.036948,2020-02-04 18:35:10.036948,2020-02-04 18:36:16.442620,2020-02-04 18:35:08.511132,2020-02-04 18:35:08.511132,2020-02-04 18:35:08.511132,2020-02-04 18:35:08.511132,./tools/plaso-master/config/jenkins/linux
run_end_to_end_tests.sh,1.8KB,In use,2020-02-04 18:35:08.532114,2019-09-16 16:51:11.000000,2020-02-04 18:35:10.010980,2020-02-04 18:35:08.576090,2020-02-04 18:35:08.532114,2020-02-04 18:35:08.532114,2020-02-04 18:35:08.532114,2020-02-04 18:35:08.532114,./tools/plaso-master/config/jenkins/linux/run_end_to_end_tests.sh
run_end_to_end_tests_py3.sh,1.8KB,In use,2020-02-04 18:35:10.036948,2019-09-16 16:51:11.000000,2020-02-04 18:35:11.535812,2020-02-04 18:35:10.103910,2020-02-04 18:35:10.036948,2020-02-04 18:35:10.036948,2020-02-04 18:35:10.036948,2020-02-04 18:35:10.036948,./tools/plaso-master/config/jenkins/linux/run_end_to_end_tests_py3.sh
sans,0,In use directory,2020-02-04 18:35:11.550820,2020-02-04 18:35:14.559038,2020-02-04 18:35:14.559038,2020-02-04 18:36:16.442620,2020-02-04 18:35:11.550820,2020-02-04 18:35:11.550820,2020-02-04 18:35:11.550820,2020-02-04 18:35:11.550820,./tools/plaso-master/config/jenkins/sans
drfalken.ini,358.0B,In use,2020-02-04 18:35:11.566794,2019-09-16 16:51:11.000000,2020-02-04 18:35:13.039244,2020-02-04 18:35:11.604774,2020-02-04 18:35:11.566794,2020-02-04 18:35:11.566794,2020-02-04 18:35:11.566794,2020-02-04 18:35:11.566794,./tools/plaso-master/config/jenkins/sans/drfalken.ini
win2008R2-controller.ini,381.0B,In use,2020-02-04 18:35:13.051238,2019-09-16 16:51:11.000000,2020-02-04 18:35:14.535054,2020-02-04 18:35:13.090234,2020-02-04 18:35:13.051238,2020-02-04 18:35:13.051238,2020-02-04 18:35:13.051238,2020-02-04 18:35:13.051238,./tools/plaso-master/config/jenkins/sans/win2008R2-controller.ini
win7-32-nromanoff.ini,372.0B,In use,2020-02-04 18:35:14.559038,2019-09-16 16:51:11.000000,2020-02-04 18:35:17.445012,2020-02-04 18:35:14.589022,2020-02-04 18:35:14.559038,2020-02-04 18:35:14.559038,2020-02-04 18:35:14.559038,2020-02-04 18:35:14.559038,./tools/plaso-master/config/jenkins/sans/win7-32-nromanoff.ini
_AES.cp37-win_amd64.pyd,37.0KB,In use,2020-02-04 18:37:55.087856,2019-06-02 00:13:02.000000,2020-02-04 18:37:56.621638,2020-02-04 18:37:55.167812,2020-02-04 18:37:55.087856,2020-02-04 18:37:55.087856,2020-02-04 18:37:55.087856,2020-02-04 18:37:55.087856,./tools/Crypto/Cipher/_AES.cp37-win_amd64.pyd
_ARC4.cp37-win_amd64.pyd,14.0KB,In use,2020-02-04 18:37:56.640644,2019-06-02 00:13:02.000000,2020-02-04 18:37:56.736574,2020-02-04 18:37:56.708604,2020-02-04 18:37:56.640644,2020-02-04 18:37:56.640644,2020-02-04 18:37:56.640644,2020-02-04 18:37:56.640644,./tools/Crypto/Cipher/_ARC4.cp37-win_amd64.pyd
_Blowfish.cp37-win_amd64.pyd,28.0KB,In use,2020-02-04 18:37:56.750566,2019-06-02 00:13:02.000000,2020-02-04 18:37:58.262896,2020-02-04 18:37:56.812532,2020-02-04 18:37:56.750566,2020-02-04 18:37:56.750566,2020-02-04 18:37:56.750566,2020-02-04 18:37:56.750566,./tools/Crypto/Cipher/_Blowfish.cp37-win_amd64.pyd
_DES3.cp37-win_amd64.pyd,63.5KB,In use,2020-02-04 18:37:58.273886,2019-06-02 00:13:02.000000,2020-02-04 18:37:59.815690,2020-02-04 18:37:58.352842,2020-02-04 18:37:58.273886,2020-02-04 18:37:58.273886,2020-02-04 18:37:58.273886,2020-02-04 18:37:58.273886,./tools/Crypto/Cipher/_DES3.cp37-win_amd64.pyd
data,0,In use directory,2020-02-04 18:37:59.825684,2020-02-04 18:38:09.057666,2020-02-04 18:38:09.057666,2020-02-04 18:40:19.342236,2020-02-04 18:37:59.825684,2020-02-04 18:37:59.825684,2020-02-04 18:37:59.825684,2020-02-04 18:37:59.825684,./tools/data
filter_windows.txt,3.9KB,In use,2020-02-04 18:37:59.850672,2019-03-31 07:29:06.000000,2020-02-04 18:37:59.904640,2020-02-04 18:37:59.879652,2020-02-04 18:37:59.850672,2020-02-04 18:37:59.850672,2020-02-04 18:37:59.850672,2020-02-04 18:37:59.850672,./tools/data/filter_windows.txt
filter_windows.yaml,4.9KB,In use,2020-02-04 18:37:59.916634,2019-06-01 11:56:00.000000,2020-02-04 18:38:01.395398,2020-02-04 18:37:59.948624,2020-02-04 18:37:59.916634,2020-02-04 18:37:59.916634,2020-02-04 18:37:59.916634,2020-02-04 18:37:59.916634,./tools/data/filter_windows.yaml
plaso-data.README,80.0B,In use,2020-02-04 18:38:01.412388,2018-01-27 22:48:16.000000,2020-02-04 18:38:01.457756,2020-02-04 18:38:01.441372,2020-02-04 18:38:01.412388,2020-02-04 18:38:01.412388,2020-02-04 18:38:01.412388,2020-02-04 18:38:01.412388,./tools/data/plaso-data.README
plaso_kibana_example.json,6.8KB,In use,2020-02-04 18:38:01.470748,2017-10-01 06:47:34.000000,2020-02-04 18:38:04.383506,2020-02-04 18:38:01.508728,2020-02-04 18:38:01.470748,2020-02-04 18:38:01.470748,2020-02-04 18:38:01.470748,2020-02-04 18:38:01.470748,./tools/data/plaso_kibana_example.json
presets.yaml,2.8KB,In use,2020-02-04 18:38:04.403494,2019-07-11 21:49:06.000000,2020-02-04 18:38:04.451468,2020-02-04 18:38:04.431478,2020-02-04 18:38:04.403494,2020-02-04 18:38:04.403494,2020-02-04 18:38:04.403494,2020-02-04 18:38:04.403494,./tools/data/presets.yaml
signatures.conf,1003.0B,In use,2020-02-04 18:38:04.463460,2017-10-01 06:47:34.000000,2020-02-04 18:38:07.359332,2020-02-04 18:38:05.921538,2020-02-04 18:38:04.463460,2020-02-04 18:38:04.463460,2020-02-04 18:38:04.463460,2020-02-04 18:38:04.463460,./tools/data/signatures.conf
tag_macos.txt,702.0B,In use,2020-02-04 18:38:07.373322,2019-01-31 23:47:16.000000,2020-02-04 18:38:08.835796,2020-02-04 18:38:07.402308,2020-02-04 18:38:07.373322,2020-02-04 18:38:07.373322,2020-02-04 18:38:07.373322,2020-02-04 18:38:07.373322,./tools/data/tag_macos.txt
tag_windows.txt,6.1KB,In use,2020-02-04 18:38:08.906756,2019-06-20 10:18:10.000000,2020-02-04 18:38:09.043676,2020-02-04 18:38:09.011692,2020-02-04 18:38:08.906756,2020-02-04 18:38:08.906756,2020-02-04 18:38:08.906756,2020-02-04 18:38:08.906756,./tools/data/tag_windows.txt
winevt-rc.db,6.6MB,In use,2020-02-04 18:38:09.057666,2018-10-01 23:22:10.000000,2020-02-04 18:38:20.640868,2020-02-04 18:38:20.409000,2020-02-04 18:38:09.057666,2020-02-04 18:38:09.057666,2020-02-04 18:38:09.057666,2020-02-04 18:38:09.057666,./tools/data/winevt-rc.db
dfvfs,0,In use directory,2020-02-04 18:38:21.107598,2020-02-04 18:38:21.127588,2020-02-04 18:38:21.127588,2020-02-04 18:40:19.343242,2020-02-04 18:38:21.107598,2020-02-04 18:38:21.107598,2020-02-04 18:38:21.107598,2020-02-04 18:38:21.107598,./tools/dfvfs
lib,0,In use directory,2020-02-04 18:38:21.127588,2020-02-04 18:38:21.946116,2020-02-04 18:38:21.946116,2020-02-04 18:40:19.343242,2020-02-04 18:38:21.127588,2020-02-04 18:38:21.127588,2020-02-04 18:38:21.127588,2020-02-04 18:38:21.127588,./tools/dfvfs/lib
cpio.yaml,4.2KB,In use,2020-02-04 18:38:21.274504,2019-07-13 03:01:40.000000,2020-02-04 18:38:21.757226,2020-02-04 18:38:21.715254,2020-02-04 18:38:21.274504,2020-02-04 18:38:21.274504,2020-02-04 18:38:21.274504,2020-02-04 18:38:21.274504,./tools/dfvfs/lib/cpio.yaml
gzipfile.yaml,1.4KB,In use,2020-02-04 18:38:21.946116,2019-07-13 03:01:40.000000,2020-02-04 18:38:23.445764,2020-02-04 18:38:21.987094,2020-02-04 18:38:21.946116,2020-02-04 18:38:21.946116,2020-02-04 18:38:21.946116,2020-02-04 18:38:21.946116,./tools/dfvfs/lib/gzipfile.yaml
dfwinreg,0,In use directory,2020-02-04 18:38:23.699862,2020-02-04 18:38:24.241538,2020-02-04 18:38:24.241538,2020-02-04 18:40:19.344236,2020-02-04 18:38:23.699862,2020-02-04 18:38:23.699862,2020-02-04 18:38:23.699862,2020-02-04 18:38:23.699862,./tools/dfwinreg
dtfabric.yaml,445.0B,In use,2020-02-04 18:38:24.241538,2019-07-13 03:02:00.000000,2020-02-04 18:38:24.336484,2020-02-04 18:38:24.309498,2020-02-04 18:38:24.241538,2020-02-04 18:38:24.241538,2020-02-04 18:38:24.241538,2020-02-04 18:38:24.241538,./tools/dfwinreg/dtfabric.yaml
plaso,0,In use directory,2020-02-04 18:38:24.749252,2020-02-04 18:38:25.055580,2020-02-04 18:38:25.055580,2020-02-04 18:40:19.344236,2020-02-04 18:38:24.749252,2020-02-04 18:38:24.749252,2020-02-04 18:38:24.749252,2020-02-04 18:38:24.749252,./tools/plaso
parsers,0,In use directory,2020-02-04 18:38:25.055580,2020-02-04 18:40:14.726852,2020-02-04 18:40:14.726852,2020-02-04 18:40:19.345236,2020-02-04 18:38:25.055580,2020-02-04 18:38:25.055580,2020-02-04 18:38:25.055580,2020-02-04 18:38:25.055580,./tools/plaso/parsers
asl.yaml,2.6KB,In use,2020-02-04 18:38:25.272454,2018-06-30 23:49:46.000000,2020-02-04 18:38:27.160370,2020-02-04 18:38:25.679220,2020-02-04 18:38:25.272454,2020-02-04 18:38:25.272454,2020-02-04 18:38:25.272454,2020-02-04 18:38:25.272454,./tools/plaso/parsers/asl.yaml
bsm.yaml,12.1KB,In use,2020-02-04 18:38:27.701060,2018-08-19 22:02:28.000000,2020-02-04 18:38:30.709494,2020-02-04 18:38:27.832984,2020-02-04 18:38:27.701060,2020-02-04 18:38:27.701060,2020-02-04 18:38:27.701060,2020-02-04 18:38:27.701060,./tools/plaso/parsers/bsm.yaml
chrome_cache.yaml,3.7KB,In use,2020-02-04 18:38:35.794452,2018-08-19 22:02:28.000000,2020-02-04 18:38:36.293302,2020-02-04 18:38:36.265324,2020-02-04 18:38:35.794452,2020-02-04 18:38:35.794452,2020-02-04 18:38:35.794452,2020-02-04 18:38:35.794452,./tools/plaso/parsers/chrome_cache.yaml
cups_ipp.yaml,2.1KB,In use,2020-02-04 18:38:36.478872,2018-12-09 01:42:58.000000,2020-02-04 18:38:36.555830,2020-02-04 18:38:36.518852,2020-02-04 18:38:36.478872,2020-02-04 18:38:36.478872,2020-02-04 18:38:36.478872,2020-02-04 18:38:36.478872,./tools/plaso/parsers/cups_ipp.yaml
custom_destinations.yaml,1.5KB,In use,2020-02-04 18:38:36.910624,2018-10-01 23:22:10.000000,2020-02-04 18:38:38.844788,2020-02-04 18:38:37.404126,2020-02-04 18:38:36.910624,2020-02-04 18:38:36.910624,2020-02-04 18:38:36.910624,2020-02-04 18:38:36.910624,./tools/plaso/parsers/custom_destinations.yaml
esedb_plugins,0,In use directory,2020-02-04 18:38:39.575366,2020-02-04 18:38:44.360784,2020-02-04 18:38:44.360784,2020-02-04 18:40:19.346236,2020-02-04 18:38:39.575366,2020-02-04 18:38:39.575366,2020-02-04 18:38:39.575366,2020-02-04 18:38:39.575366,./tools/plaso/parsers/esedb_plugins
types.yaml,670.0B,In use,2020-02-04 18:38:44.360784,2018-10-01 23:22:10.000000,2020-02-04 18:38:48.193738,2020-02-04 18:38:48.171752,2020-02-04 18:38:44.360784,2020-02-04 18:38:44.360784,2020-02-04 18:38:44.360784,2020-02-04 18:38:44.360784,./tools/plaso/parsers/esedb_plugins/types.yaml
firefox_cache.yaml,2.5KB,In use,2020-02-04 18:38:48.327660,2018-08-19 22:02:28.000000,2020-02-04 18:38:48.393622,2020-02-04 18:38:48.371636,2020-02-04 18:38:48.327660,2020-02-04 18:38:48.327660,2020-02-04 18:38:48.327660,2020-02-04 18:38:48.327660,./tools/plaso/parsers/firefox_cache.yaml
fseventsd.yaml,1.3KB,In use,2020-02-04 18:38:57.337726,2018-08-19 22:02:28.000000,2020-02-04 18:39:00.560524,2020-02-04 18:38:59.110360,2020-02-04 18:38:57.337726,2020-02-04 18:38:57.337726,2020-02-04 18:38:57.337726,2020-02-04 18:38:57.337726,./tools/plaso/parsers/fseventsd.yaml
java_idx.yaml,4.0KB,In use,2020-02-04 18:39:00.591508,2018-06-30 23:49:46.000000,2020-02-04 18:39:00.920326,2020-02-04 18:39:00.888340,2020-02-04 18:39:00.591508,2020-02-04 18:39:00.591508,2020-02-04 18:39:00.591508,2020-02-04 18:39:00.591508,./tools/plaso/parsers/java_idx.yaml
mac_keychain.yaml,3.6KB,In use,2020-02-04 18:39:01.486996,2018-10-01 23:22:10.000000,2020-02-04 18:39:03.171024,2020-02-04 18:39:01.727852,2020-02-04 18:39:01.486996,2020-02-04 18:39:01.486996,2020-02-04 18:39:01.486996,2020-02-04 18:39:01.486996,./tools/plaso/parsers/mac_keychain.yaml
ntfs.yaml,1.3KB,In use,2020-02-04 18:39:03.705716,2018-06-30 23:49:46.000000,2020-02-04 18:39:05.794516,2020-02-04 18:39:04.354344,2020-02-04 18:39:03.705716,2020-02-04 18:39:03.705716,2020-02-04 18:39:03.705716,2020-02-04 18:39:03.705716,./tools/plaso/parsers/ntfs.yaml
olecf_plugins,0,In use directory,2020-02-04 18:39:06.072356,2020-02-04 18:39:06.191288,2020-02-04 18:39:06.191288,2020-02-04 18:40:19.346236,2020-02-04 18:39:06.072356,2020-02-04 18:39:06.072356,2020-02-04 18:39:06.072356,2020-02-04 18:39:06.072356,./tools/plaso/parsers/olecf_plugins
automatic_destinations.yaml,2.9KB,In use,2020-02-04 18:39:06.191288,2018-08-19 22:02:28.000000,2020-02-04 18:39:06.691000,2020-02-04 18:39:06.652026,2020-02-04 18:39:06.191288,2020-02-04 18:39:06.191288,2020-02-04 18:39:06.191288,2020-02-04 18:39:06.191288,./tools/plaso/parsers/olecf_plugins/automatic_destinations.yaml
plist_plugins,0,In use directory,2020-02-04 18:39:06.826922,2020-02-04 18:39:06.960846,2020-02-04 18:39:06.960846,2020-02-04 18:40:19.346236,2020-02-04 18:39:06.826922,2020-02-04 18:39:06.826922,2020-02-04 18:39:06.826922,2020-02-04 18:39:06.826922,./tools/plaso/parsers/plist_plugins
timemachine.yaml,680.0B,In use,2020-02-04 18:39:06.960846,2018-10-01 23:22:10.000000,2020-02-04 18:39:08.872746,2020-02-04 18:39:07.422578,2020-02-04 18:39:06.960846,2020-02-04 18:39:06.960846,2020-02-04 18:39:06.960846,2020-02-04 18:39:06.960846,./tools/plaso/parsers/plist_plugins/timemachine.yaml
pls_recall.yaml,954.0B,In use,2020-02-04 18:39:09.223544,2018-06-30 23:49:46.000000,2020-02-04 18:39:09.692276,2020-02-04 18:39:09.659292,2020-02-04 18:39:09.223544,2020-02-04 18:39:09.223544,2020-02-04 18:39:09.223544,2020-02-04 18:39:09.223544,./tools/plaso/parsers/pls_recall.yaml
recycler.yaml,2.5KB,In use,2020-02-04 18:39:10.471826,2018-06-30 23:49:46.000000,2020-02-04 18:39:12.625320,2020-02-04 18:39:11.138952,2020-02-04 18:39:10.471826,2020-02-04 18:39:10.471826,2020-02-04 18:39:10.471826,2020-02-04 18:39:10.471826,./tools/plaso/parsers/recycler.yaml
safari_cookies.yaml,2.0KB,In use,2020-02-04 18:39:23.860222,2018-06-30 23:49:46.000000,2020-02-04 18:39:41.738174,2020-02-04 18:39:41.714188,2020-02-04 18:39:23.860222,2020-02-04 18:39:23.860222,2020-02-04 18:39:23.860222,2020-02-04 18:39:23.860222,./tools/plaso/parsers/safari_cookies.yaml
systemd_journal.yaml,3.9KB,In use,2020-02-04 18:39:42.225894,2018-10-01 23:22:10.000000,2020-02-04 18:39:42.301852,2020-02-04 18:39:42.268870,2020-02-04 18:39:42.225894,2020-02-04 18:39:42.225894,2020-02-04 18:39:42.225894,2020-02-04 18:39:42.225894,./tools/plaso/parsers/systemd_journal.yaml
utmp.yaml,1.9KB,In use,2020-02-04 18:39:42.970580,2018-06-30 23:49:46.000000,2020-02-04 18:39:45.001884,2020-02-04 18:39:43.541784,2020-02-04 18:39:42.970580,2020-02-04 18:39:42.970580,2020-02-04 18:39:42.970580,2020-02-04 18:39:42.970580,./tools/plaso/parsers/utmp.yaml
winjob.yaml,4.2KB,In use,2020-02-04 18:39:46.991740,2018-06-30 23:49:46.000000,2020-02-04 18:39:48.509398,2020-02-04 18:39:47.058700,2020-02-04 18:39:46.991740,2020-02-04 18:39:46.991740,2020-02-04 18:39:46.991740,2020-02-04 18:39:46.991740,./tools/plaso/parsers/winjob.yaml
winreg_plugins,0,In use directory,2020-02-04 18:39:48.675302,2020-02-04 18:40:13.215722,2020-02-04 18:40:13.215722,2020-02-04 18:40:19.347234,2020-02-04 18:39:48.675302,2020-02-04 18:39:48.675302,2020-02-04 18:39:48.675302,2020-02-04 18:39:48.675302,./tools/plaso/parsers/winreg_plugins
appcompatcache.yaml,8.2KB,In use,2020-02-04 18:39:48.702286,2018-08-19 22:02:28.000000,2020-02-04 18:39:48.852200,2020-02-04 18:39:48.786238,2020-02-04 18:39:48.702286,2020-02-04 18:39:48.702286,2020-02-04 18:39:48.702286,2020-02-04 18:39:48.702286,./tools/plaso/parsers/winreg_plugins/appcompatcache.yaml
filetime.yaml,285.0B,In use,2020-02-04 18:40:02.769198,2018-08-19 22:02:28.000000,2020-02-04 18:40:03.524764,2020-02-04 18:40:03.489782,2020-02-04 18:40:02.769198,2020-02-04 18:40:02.769198,2020-02-04 18:40:02.769198,2020-02-04 18:40:02.769198,./tools/plaso/parsers/winreg_plugins/filetime.yaml
mru.yaml,860.0B,In use,2020-02-04 18:40:03.846578,2018-08-19 22:02:28.000000,2020-02-04 18:40:05.651540,2020-02-04 18:40:04.197380,2020-02-04 18:40:03.846578,2020-02-04 18:40:03.846578,2020-02-04 18:40:03.846578,2020-02-04 18:40:03.846578,./tools/plaso/parsers/winreg_plugins/mru.yaml
programscache.yaml,985.0B,In use,2020-02-04 18:40:05.923384,2018-08-19 22:02:28.000000,2020-02-04 18:40:06.318156,2020-02-04 18:40:06.284176,2020-02-04 18:40:05.923384,2020-02-04 18:40:05.923384,2020-02-04 18:40:05.923384,2020-02-04 18:40:05.923384,./tools/plaso/parsers/winreg_plugins/programscache.yaml
sam_users.yaml,1.7KB,In use,2020-02-04 18:40:06.383118,2018-08-19 22:02:28.000000,2020-02-04 18:40:07.870266,2020-02-04 18:40:06.424094,2020-02-04 18:40:06.383118,2020-02-04 18:40:06.383118,2020-02-04 18:40:06.383118,2020-02-04 18:40:06.383118,./tools/plaso/parsers/winreg_plugins/sam_users.yaml
systemtime.yaml,596.0B,In use,2020-02-04 18:40:08.388966,2018-08-19 22:02:28.000000,2020-02-04 18:40:08.474916,2020-02-04 18:40:08.447932,2020-02-04 18:40:08.388966,2020-02-04 18:40:08.388966,2020-02-04 18:40:08.388966,2020-02-04 18:40:08.388966,./tools/plaso/parsers/winreg_plugins/systemtime.yaml
task_scheduler.yaml,982.0B,In use,2020-02-04 18:40:08.952642,2018-08-19 22:02:28.000000,2020-02-04 18:40:11.780548,2020-02-04 18:40:10.307396,2020-02-04 18:40:08.952642,2020-02-04 18:40:08.952642,2020-02-04 18:40:08.952642,2020-02-04 18:40:08.952642,./tools/plaso/parsers/winreg_plugins/task_scheduler.yaml
userassist.yaml,1.5KB,In use,2020-02-04 18:40:13.215722,2018-08-19 22:02:28.000000,2020-02-04 18:40:14.699868,2020-02-04 18:40:13.253700,2020-02-04 18:40:13.215722,2020-02-04 18:40:13.215722,2020-02-04 18:40:13.215722,2020-02-04 18:40:13.215722,./tools/plaso/parsers/winreg_plugins/userassist.yaml
winrestore.yaml,913.0B,In use,2020-02-04 18:40:14.726852,2018-06-09 23:21:36.000000,2020-02-04 18:40:14.807804,2020-02-04 18:40:14.787818,2020-02-04 18:40:14.726852,2020-02-04 18:40:14.726852,2020-02-04 18:40:14.726852,2020-02-04 18:40:14.726852,./tools/plaso/parsers/winrestore.yaml
200107~08 °Ü¿ï¿¥Æ¼,0,In use directory,2020-02-04 18:38:10.913900,2020-02-04 18:47:49.073964,2020-02-04 18:47:49.073964,2020-02-04 18:47:49.073964,2020-02-04 18:43:17.010920,2020-02-04 18:43:17.010920,2020-02-04 18:43:17.010920,2020-02-04 18:43:17.010920,./200107~08 °Ü¿ï¿¥Æ¼
20200107_115620.jpg,4.4MB,In use,2020-02-04 18:38:12.186982,2020-01-07 02:56:20.000000,2020-02-04 18:46:10.397802,2020-02-04 18:43:21.838248,2020-02-04 18:43:17.024932,2020-02-04 18:43:17.024932,2020-02-04 18:43:17.024932,2020-02-04 18:43:17.024932,./200107~08 °Ü¿ï¿¥Æ¼/20200107_115620.jpg
20200107_120228.jpg,3.6MB,In use,2020-02-04 18:38:15.719674,2020-01-07 03:02:28.000000,2020-02-04 18:46:10.799570,2020-02-04 18:43:23.718212,2020-02-04 18:43:21.861232,2020-02-04 18:43:21.861232,2020-02-04 18:43:21.861232,2020-02-04 18:43:21.861232,./200107~08 °Ü¿ï¿¥Æ¼/20200107_120228.jpg
20200107_120230.jpg,3.6MB,In use,2020-02-04 18:38:19.273370,2020-01-07 03:02:30.000000,2020-02-04 18:46:04.354000,2020-02-04 18:43:24.536002,2020-02-04 18:43:23.745244,2020-02-04 18:43:23.745244,2020-02-04 18:43:23.745244,2020-02-04 18:43:23.745244,./200107~08 °Ü¿ï¿¥Æ¼/20200107_120230.jpg
20200107_141022.jpg,3.2MB,In use,2020-02-04 18:38:21.995088,2020-01-07 05:10:22.000000,2020-02-04 18:46:10.926498,2020-02-04 18:43:26.409924,2020-02-04 18:43:24.561986,2020-02-04 18:43:24.561986,2020-02-04 18:43:24.561986,2020-02-04 18:43:24.561986,./200107~08 °Ü¿ï¿¥Æ¼/20200107_141022.jpg
20200107_141041.jpg,1.6MB,In use,2020-02-04 18:38:24.328488,2020-01-07 05:10:40.000000,2020-02-04 18:46:10.974468,2020-02-04 18:43:27.178482,2020-02-04 18:43:26.436908,2020-02-04 18:43:26.436908,2020-02-04 18:43:26.436908,2020-02-04 18:43:26.436908,./200107~08 °Ü¿ï¿¥Æ¼/20200107_141041.jpg
20200107_143508.jpg,3.1MB,In use,2020-02-04 18:38:25.795154,2020-01-07 05:35:08.000000,2020-02-04 18:46:11.020444,2020-02-04 18:43:30.471578,2020-02-04 18:43:27.205466,2020-02-04 18:43:27.205466,2020-02-04 18:43:27.205466,2020-02-04 18:43:27.205466,./200107~08 °Ü¿ï¿¥Æ¼/20200107_143508.jpg
20200107_143520.jpg,1.5MB,In use,2020-02-04 18:38:27.889950,2020-01-07 05:35:20.000000,2020-02-04 18:46:11.070414,2020-02-04 18:43:30.701430,2020-02-04 18:43:30.494548,2020-02-04 18:43:30.494548,2020-02-04 18:43:30.494548,2020-02-04 18:43:30.494548,./200107~08 °Ü¿ï¿¥Æ¼/20200107_143520.jpg
20200107_143521.jpg,1.6MB,In use,2020-02-04 18:38:28.987460,2020-01-07 05:35:20.000000,2020-02-04 18:46:11.116388,2020-02-04 18:43:30.938296,2020-02-04 18:43:30.727414,2020-02-04 18:43:30.727414,2020-02-04 18:43:30.727414,2020-02-04 18:43:30.727414,./200107~08 °Ü¿ï¿¥Æ¼/20200107_143521.jpg
