file_name,file_size,statuss_created_time,s_modified_time,s_mft_modified_time,s_last_accessed_time,f_created_time,f_modified_time,f_mft_modified_time,f_last_accessed_time,file_full_path
$Tops,1.0MB,In use,2020-02-04 18:32:53.703174,2020-02-04 18:32:53.703174,2020-02-04 18:32:53.703174,2020-02-04 18:32:53.703174,2020-02-04 18:32:53.703174,2020-02-04 18:32:53.703174,2020-02-04 18:32:53.703174,2020-02-04 18:32:53.703174,./$Extend/$RmMetadata/$TxfLog/$Tops
$TxfLog.blf,64.0KB,In use,2020-02-04 18:32:53.767140,2020-02-04 19:03:41.773564,2020-02-04 19:03:41.773564,2020-02-04 19:03:41.773564,2020-02-04 18:32:53.767140,2020-02-04 18:32:53.767140,2020-02-04 18:32:53.767140,2020-02-04 18:32:53.767140,./$Extend/$RmMetadata/$TxfLog/$TxfLog.blf
$TxfLogContainer00000000000000000001,3.0MB,In use,2020-02-04 18:32:53.822548,2020-02-04 19:03:41.768596,2020-02-04 19:03:41.768596,2020-02-04 19:03:41.768596,2020-02-04 18:32:53.822548,2020-02-04 18:32:53.822548,2020-02-04 18:32:53.822548,2020-02-04 18:32:53.822548,./$Extend/$RmMetadata/$TxfLog/$TxfLogContainer00000000000000000001
$TxfLogContainer00000000000000000002,3.0MB,In use,2020-02-04 18:32:55.506756,2020-02-04 18:32:55.810532,2020-02-04 18:32:55.810532,2020-02-04 18:32:55.810532,2020-02-04 18:32:55.506756,2020-02-04 18:32:55.506756,2020-02-04 18:32:55.506756,2020-02-04 18:32:55.506756,./$Extend/$RmMetadata/$TxfLog/$TxfLogContainer00000000000000000002
System Volume Information,0,In use directory,2020-02-04 18:32:56.059898,2020-02-04 18:32:56.324746,2020-02-04 18:32:56.324746,2020-02-04 18:32:56.324746,2020-02-04 18:32:56.059898,2020-02-04 18:32:56.059898,2020-02-04 18:32:56.059898,2020-02-04 18:32:56.059898,./System Volume Information
WPSettings.dat,12.0B,In use,2020-02-04 18:32:56.067896,2020-02-04 18:32:56.161840,2020-02-04 18:32:56.161840,2020-02-04 18:32:56.161840,2020-02-04 18:32:56.067896,2020-02-04 18:32:56.067896,2020-02-04 18:32:56.067896,2020-02-04 18:32:56.067896,./System Volume Information/WPSettings.dat
IndexerVolumeGuid,76.0B,In use,2020-02-04 18:32:56.324746,2020-02-04 18:32:56.324746,2020-02-04 18:32:56.324746,2020-02-04 18:32:56.324746,2020-02-04 18:32:56.324746,2020-02-04 18:32:56.324746,2020-02-04 18:32:56.324746,2020-02-04 18:32:56.324746,./System Volume Information/IndexerVolumeGuid
christmas_pockets-c8b740857a5c987f39be2fe072ccb264.zip,162.0B,In use,2020-02-04 18:33:07.514328,2019-12-25 08:32:02.758946,2019-12-25 08:32:02.758946,2020-02-04 18:33:07.545302,2020-02-04 18:33:07.514328,2020-02-04 18:33:07.514328,2020-02-04 18:33:07.514328,2020-02-04 18:33:07.514328,./christmas_pockets-c8b740857a5c987f39be2fe072ccb264.zip
HxDSetup.zip,142.0B,In use,2020-02-04 18:33:07.628254,2019-12-14 14:30:20.540708,2019-12-14 14:30:20.540708,2020-02-04 18:33:07.976188,2020-02-04 18:33:07.628254,2020-02-04 18:33:07.628254,2020-02-04 18:33:07.628254,2020-02-04 18:33:07.628254,./HxDSetup.zip
tweakpng-1.4.6.zip,144.0B,In use,2020-02-04 18:33:08.028158,2019-12-14 14:29:30.558614,2019-12-14 14:29:30.558614,2020-02-04 18:33:08.111112,2020-02-04 18:33:08.028158,2020-02-04 18:33:08.028158,2020-02-04 18:33:08.028158,2020-02-04 18:33:08.028158,./tweakpng-1.4.6.zip
